id,context,question,answer_text,answer_start,language,stratify,fold,gold_s
3bc1c86da,"453 square kilometers (175sqmi) பரப்பளவில் 6.76 மில்லியன்[7] மக்கள்தொகையடன் கெய்ரோ எகிப்தின் மிகப்பெரிய நகரமாக விளங்குகிறது.  நகரின் புறநகர்ப் பகுதிகளில் வாழும் கூடுதலான 10 மில்லியன் மக்களுடன் ஆப்பிரிக்காவிலும் அரபு உலகிலும் உள்ள மிகப்பெரிய நகரமாக கெய்ரோ மாநகரப்பகுதி விளங்குகிறது.  நகரப் பரப்பளவிலான மாநகரப் பகுதிகளில் பத்தாவது மிகப் பெரும் நகரமாகவும் விளங்குகிறது.[8] மற்ற பெருநகரங்களைப் போலவே, கெய்ரோவிலும் கூடுதலான போக்குவரத்து நெரிசலும்  சூழல்மாசடைவும்   உள்ளது. கெய்ரோவின் பாதாளத் தொடர்வண்டி, கெய்ரோ மெட்ரோ, உலகின் பதினைந்தாவது போக்குவரத்துமிக்க தொடர்வண்டி அமைப்பாக விளங்குகிறது.[9] இதை ஆண்டுக்கு 1 பில்லியனுக்கும் கூடுதலான[10] பயணிகள் பாவிக்கின்றனர். பொருளியலில் கெய்ரோ மத்திய கிழக்கு நாடுகளில் முதலாவதாகவும் [11] உலகளவில் 43வதாகவும் உள்ளது.[12]",கெய்ரோ நகரத்தின் பரப்பளவு என்ன?,453 square kilometers,0,tamil,tamil,3,"453 square kilometers (175sqmi) பரப்பளவில் 6.76 மில்லியன்[7] மக்கள்தொகையடன் கெய்ரோ எகிப்தின் மிகப்பெரிய நகரமாக விளங்குகிறது.  நகரின் புறநகர்ப் பகுதிகளில் வாழும் கூடுதலான 10 மில்லியன் மக்களுடன் ஆப்பிரிக்காவிலும் அரபு உலகிலும் உள்ள மிகப்பெரிய நகரமாக கெய்ரோ மாநகரப்பகுதி விளங்குகிறது.  நகரப் பரப்பளவிலான மாநகரப் பகுதிகளில் பத்தாவது மிகப் பெரும் நகரமாகவும் விளங்குகிறது.[8] மற்ற பெருநகரங்களைப் போலவே, கெய்ரோவிலும் கூடுதலான போக்குவரத்து நெரிசலும்  சூழல்மாசடைவும்   உள்ளது. கெய்ரோவின் பாதாளத் தொடர்வண்டி, கெய்ரோ மெட்ரோ, உலகின் பதினைந்தாவது போக்குவரத்துமிக்க தொடர்வண்டி அமைப்பாக விளங்குகிறது.[9] இதை ஆண்டுக்கு 1 பில்லியனுக்கும் கூடுதலான[10] பயணிகள் பாவிக்கின்றனர். பொருளியலில் கெய்ரோ மத்திய கிழக்கு நாடுகளில் முதலாவதாகவும் [11] உலகளவில் 43வதாகவும் உள்ளது.[12]"
18149fad8,विनयपत्रिका तुलसीदास रचित एक ग्रंथ है। यह ब्रज भाषा में रचित है। विनय पत्रिका में विनय के पद है। विनयपत्रिका का एक नाम राम विनयावली भी है। विनय पत्रिका में 21 रागों का प्रयोग हुआ है। विनय पत्रिका का प्रमुख रस शांतरस है तथा इस रस का स्‍थाई भाव निर्वेद होता है। विनय प्रत्रिका अध्‍यात्मिक जीवन को परिलक्षित करती है। इस में सम्‍मलित पदों की संख्‍या 279 है।,विनयपत्रिका की भाषा में लिखी गयी है?,ब्रज भाषा,42,hindi,hindi,3,विनयपत्रिका तुलसीदास रचित एक ग्रंथ है। यह ब्रज भाषा में रचित है। विनय पत्रिका में विनय के पद है। विनयपत्रिका का एक नाम राम विनयावली भी है। विनय पत्रिका में 21 रागों का प्रयोग हुआ है। विनय पत्रिका का प्रमुख रस शांतरस है तथा इस रस का स्‍थाई भाव निर्वेद होता है। विनय प्रत्रिका अध्‍यात्मिक जीवन को परिलक्षित करती है। इस में सम्‍मलित पदों की संख्‍या 279 है।
5783a24a4,"नानक (पंजाबी:ਨਾਨਕ) (15 अप्रैल 1469 – 22 सितंबर 1539) सिखों के प्रथम  (आदि गुरु) हैं।[1] इनके अनुयायी इन्हें नानक,  नानक देव जी, बाबा नानक और नानकशाह नामों से संबोधित करते हैं। सामवेदी ब्राह्मण गुरु नानक मुसलमानों के अत्याचार के विरुद्ध सिक्खों को तैयार किया था।  नानक अपने व्यक्तित्व में दार्शनिक, योगी, गृहस्थ, धर्मसुधारक, समाजसुधारक, कवि, देशभक्त और विश्वबंधु - सभी के गुण समेटे हुए थे। कई सारे लोगो का मानना है कि बाबा नानक एक वेद पाठी ब्राह्मण थे । और उनके सामवेद शैली के गायक थे गुरु वाणी सामवेद शैली पर ही है गुरू नानक देव जी  ने सनातन की रक्षा के लिए सर्वस्व न्योछावर कर दिया था ।",गुरु नानक का जन्म कब हुआ था?,15 अप्रैल 1469,20,hindi,hindi,2,"नानक (पंजाबी:ਨਾਨਕ) (15 अप्रैल 1469 – 22 सितंबर 1539) सिखों के प्रथम  (आदि गुरु) हैं।[1] इनके अनुयायी इन्हें नानक,  नानक देव जी, बाबा नानक और नानकशाह नामों से संबोधित करते हैं। सामवेदी ब्राह्मण गुरु नानक मुसलमानों के अत्याचार के विरुद्ध सिक्खों को तैयार किया था।  नानक अपने व्यक्तित्व में दार्शनिक, योगी, गृहस्थ, धर्मसुधारक, समाजसुधारक, कवि, देशभक्त और विश्वबंधु - सभी के गुण समेटे हुए थे। कई सारे लोगो का मानना है कि बाबा नानक एक वेद पाठी ब्राह्मण थे । और उनके सामवेद शैली के गायक थे गुरु वाणी सामवेद शैली पर ही है गुरू नानक देव जी  ने सनातन की रक्षा के लिए सर्वस्व न्योछावर कर दिया था ।"
92eaf5aca,"ट्रांसफॉर्मर, विद्युत मोटर, विद्युत जनित्र आदि को विद्युत मशीन (electrical machine) कहते हैं। विद्युत मशीने तीन प्रकार से ऊर्जा का परिवर्तन करतीं है: यांत्रिक ऊर्जा ==&gt; वैद्युत ऊर्जा: विद्युत जनित्र",विद्युत मशीनें कितने प्रकार से ऊर्जा का परिवर्तन करतीं हैं?,तीन,108,hindi,hindi,3,"ट्रांसफॉर्मर, विद्युत मोटर, विद्युत जनित्र आदि को विद्युत मशीन (electrical machine) कहते हैं। विद्युत मशीने तीन प्रकार से ऊर्जा का परिवर्तन करतीं है: यांत्रिक ऊर्जा ==&gt; वैद्युत ऊर्जा: विद्युत जनित्र"
575930e3c,"நவம்பர் 1497 ல், பிரஞ்சு புனித தூதுவர் பியாடா, இயேசு உடல் மீது கன்னி மேரி வருத்தப்படுவதைக் காட்டும் ஒரு சிற்பம் செதுக்க அவரை நியமித்தார், மைக்கேலேஞ்சலோ அதன் முடிந்த நேரத்தில் அவர் வயது 24ஆக இருந்தது. இந்தச் சிற்பம் உலகின் சிறந்த படைப்புகளில் ஒன்றாக கருதப்படுகிறது. மைக்கேலேஞ்சலோ ரோமில், சாண்டா மரியா டி லொரேட்டோ தேவாலயம் அருகே வசித்து வந்தார். இங்கே, அவர் வெட்டோரியாவா க்ளோனா என்ற கவிஞரை காதலித்து வந்ததாக கூறப்படுகிறது. மேலும் அவரின் லொகோன் மற்றும் அவரது மகன்கள் என்ற சிற்பம் தற்காலத்தில் வாடிகனில் உள்ளது.",மைக்கலாஞ்சலோ எந்த வயதில் பியேட்டா சிலையை செதுக்கினார்?,24,185,tamil,tamil,4,"நவம்பர் 1497 ல், பிரஞ்சு புனித தூதுவர் பியாடா, இயேசு உடல் மீது கன்னி மேரி வருத்தப்படுவதைக் காட்டும் ஒரு சிற்பம் செதுக்க அவரை நியமித்தார், மைக்கேலேஞ்சலோ அதன் முடிந்த நேரத்தில் அவர் வயது 24ஆக இருந்தது. இந்தச் சிற்பம் உலகின் சிறந்த படைப்புகளில் ஒன்றாக கருதப்படுகிறது. மைக்கேலேஞ்சலோ ரோமில், சாண்டா மரியா டி லொரேட்டோ தேவாலயம் அருகே வசித்து வந்தார். இங்கே, அவர் வெட்டோரியாவா க்ளோனா என்ற கவிஞரை காதலித்து வந்ததாக கூறப்படுகிறது. மேலும் அவரின் லொகோன் மற்றும் அவரது மகன்கள் என்ற சிற்பம் தற்காலத்தில் வாடிகனில் உள்ளது."
e51cd0595,"कर्नाटक (Kannada: ಕರ್ನಾಟಕ), जिसे कर्णाटक भी कहते हैं, दक्षिण भारत का एक राज्य है। इस राज्य का गठन १ नवंबर, १९५६ को राज्य पुनर्गठन अधिनियम के अधीन किया गया था। पहले यह मैसूर राज्य कहलाता था। १९७३ में पुनर्नामकरण कर इसका नाम कर्नाटक कर दिया गया। इसकी सीमाएं पश्चिम में अरब सागर, उत्तर पश्चिम में गोआ, उत्तर में महाराष्ट्र, पूर्व में आंध्र प्रदेश, दक्षिण-पूर्व में तमिल नाडु एवं दक्षिण में केरल से लगती हैं। इसका कुल क्षेत्रफल ७४,१२२ वर्ग मील (१,९१,९७६कि॰मी॰²) है, जो भारत के कुल भौगोलिक क्षेत्र का ५.८३% है। २९ जिलों के साथ यह राज्य आठवां सबसे बड़ा राज्य है। राज्य की आधिकारिक और सर्वाधिक बोली जाने वाली भाषा है कन्नड़।",मैसूर शहर की आधिकारिक भाषा क्या है?,कन्नड़,610,hindi,hindi,1,"कर्नाटक (Kannada: ಕರ್ನಾಟಕ), जिसे कर्णाटक भी कहते हैं, दक्षिण भारत का एक राज्य है। इस राज्य का गठन १ नवंबर, १९५६ को राज्य पुनर्गठन अधिनियम के अधीन किया गया था। पहले यह मैसूर राज्य कहलाता था। १९७३ में पुनर्नामकरण कर इसका नाम कर्नाटक कर दिया गया। इसकी सीमाएं पश्चिम में अरब सागर, उत्तर पश्चिम में गोआ, उत्तर में महाराष्ट्र, पूर्व में आंध्र प्रदेश, दक्षिण-पूर्व में तमिल नाडु एवं दक्षिण में केरल से लगती हैं। इसका कुल क्षेत्रफल ७४,१२२ वर्ग मील (१,९१,९७६कि॰मी॰²) है, जो भारत के कुल भौगोलिक क्षेत्र का ५.८३% है। २९ जिलों के साथ यह राज्य आठवां सबसे बड़ा राज्य है। राज्य की आधिकारिक और सर्वाधिक बोली जाने वाली भाषा है कन्नड़।"
cc4c69225,"हख़ामनी वंश या अजमीढ़ साम्राज्य(अंग्रेज़ी तथा ग्रीक में एकेमेनिड, अजमीढ़ साम्राज्य (ईसापूर्व 550 - ईसापूर्व 330) प्राचीन ईरान (फ़ारस) का एक शासक वंश था। यह प्राचीन ईरान के ज्ञात इतिहास का पहला शासक वंश था जिसने आज के लगभग सम्पूर्ण ईरान पर अपनी प्रभुसत्ता हासिल की थी और इसके अलावा अपने चरमकाल में तो यह पश्मिम में यूनान से लेकर पूर्व में सिंधु नदी तक और उत्तर में कैस्पियन सागर से लेकर दक्षिण में अरब सागर तक फैल गया था। इतना बड़ा साम्राज्य इसके बाद बस सासानी शासक ही स्थापित कर पाए थे। इस वंश का पतन सिकन्दर के आक्रमण से सन ३३० ईसापूर्व में हुआ था, जिसके बाद इसके प्रदेशों पर यूनानी (मेसीडोन) प्रभुत्व स्थापित हो गया था।",आचमेनिड साम्राज्य का अंत किस साल में हुआ था?,सन ३३० ईसापूर्व,522,hindi,hindi,0,"हख़ामनी वंश या अजमीढ़ साम्राज्य(अंग्रेज़ी तथा ग्रीक में एकेमेनिड, अजमीढ़ साम्राज्य (ईसापूर्व 550 - ईसापूर्व 330) प्राचीन ईरान (फ़ारस) का एक शासक वंश था। यह प्राचीन ईरान के ज्ञात इतिहास का पहला शासक वंश था जिसने आज के लगभग सम्पूर्ण ईरान पर अपनी प्रभुसत्ता हासिल की थी और इसके अलावा अपने चरमकाल में तो यह पश्मिम में यूनान से लेकर पूर्व में सिंधु नदी तक और उत्तर में कैस्पियन सागर से लेकर दक्षिण में अरब सागर तक फैल गया था। इतना बड़ा साम्राज्य इसके बाद बस सासानी शासक ही स्थापित कर पाए थे। इस वंश का पतन सिकन्दर के आक्रमण से सन ३३० ईसापूर्व में हुआ था, जिसके बाद इसके प्रदेशों पर यूनानी (मेसीडोन) प्रभुत्व स्थापित हो गया था।"
e4d02c374,यह इटली का एक प्रमुख नगर है।,वेनिस किस देश में स्थित है?,इटली,3,hindi,hindi,3,यह इटली का एक प्रमुख नगर है।
76a4006f4,विश्व स्वास्थ्य संगठन (वि॰ स्वा॰ सं॰) (WHO) विश्व के देशों के स्वास्थ्य संबंधी समस्याओं पर आपसी सहयोग एवं मानक विकसित करने की संस्था है। विश्व स्वास्थ्य संगठन के 193 सदस्य देश तथा दो संबद्ध सदस्य हैं। यह संयुक्त राष्ट्र संघ की एक अनुषांगिक इकाई है। इस संस्था की स्थापना 7 अप्रैल 1948 को की गयी थी। इसका उद्देश्य संसार के लोगो के स्वास्थ्य का स्तर ऊँचा करना है। डब्‍ल्‍यूएचओ का मुख्यालय स्विटजरलैंड के जेनेवा शहर में स्थित है। इथियोपिया के डॉक्टर टैड्रोस ऐडरेनॉम ग़ैबरेयेसस विश्व स्वास्थ्य संगठन (WHO) के नए महानिदेशक निर्वाचित हुए हैं।,विश्व स्वास्थ्य संगठन का मुख्यालय कहाँ है?,जेनेवा,401,hindi,hindi,1,विश्व स्वास्थ्य संगठन (वि॰ स्वा॰ सं॰) (WHO) विश्व के देशों के स्वास्थ्य संबंधी समस्याओं पर आपसी सहयोग एवं मानक विकसित करने की संस्था है। विश्व स्वास्थ्य संगठन के 193 सदस्य देश तथा दो संबद्ध सदस्य हैं। यह संयुक्त राष्ट्र संघ की एक अनुषांगिक इकाई है। इस संस्था की स्थापना 7 अप्रैल 1948 को की गयी थी। इसका उद्देश्य संसार के लोगो के स्वास्थ्य का स्तर ऊँचा करना है। डब्‍ल्‍यूएचओ का मुख्यालय स्विटजरलैंड के जेनेवा शहर में स्थित है। इथियोपिया के डॉक्टर टैड्रोस ऐडरेनॉम ग़ैबरेयेसस विश्व स्वास्थ्य संगठन (WHO) के नए महानिदेशक निर्वाचित हुए हैं।
7471297bb, रज्जब या रजब رجب (पूर्ण नाम: रज्जब अल-मुरज्जब) ,इस्लामिक कैलेंडर का सातवां महीना कौनसा है?,रज्जब,1,hindi,hindi,4, रज्जब या रजब رجب (पूर्ण नाम: रज्जब अल-मुरज्जब) 
